Clustering Analysis for Lattice (diag_style cluster) 
nglobal = 8000 
nprocs = 8 


--------------------------------------------------
Time = 1.292427 
ncluster = 358 
<N> = 22.3464 
<R> = 2.47043 
id ivalue dvalue size cx cy cz xlo xhi ylo yhi zlo zhi 
 192 10 0 69 0.753623 15.8406 3.04348 18 3 14 18 0 8
 193 68 0 13 19.0769 17.1538 19.9231 17 0 16 18 19 1
 195 48 0 7 4.42857 18.1429 19.8571 3 5 17 19 19 0
 197 95 0 44 9.20455 15.5227 2.54545 7 11 13 18 19 6
 199 47 0 3 2.33333 17.6667 19.3333 2 3 17 18 19 0
 202 9 0 13 7.92308 10.5385 2.30769 7 9 10 12 1 4
 204 10 0 3 7.33333 15.6667 2 7 8 15 16 1 3
 205 26 0 8 5.375 17.375 1.75 5 6 17 18 1 3
 207 99 0 9 9.11111 13.1111 2.33333 8 10 12 14 2 3
 208 60 0 1 3 16 2 3 3 16 16 2 2
 209 57 0 16 4 17.8125 3.5625 3 5 17 19 2 5
 210 14 0 9 6.66667 17.7778 3.22222 6 8 17 19 2 4
 217 6 0 1 1 12 3 1 1 12 12 3 3
 219 9 0 22 3.68182 15.5 3.95455 2 5 14 17 3 5
 220 83 0 10 8.2 13.8 4.7 7 9 13 15 3 6
 221 63 0 1 1 18 3 1 1 18 18 3 3
 225 51 0 15 18.5333 11.8667 3.8 17 0 11 13 3 5
 226 60 0 32 3.53125 11.3125 6.15625 2 6 10 13 4 8
 227 49 0 35 17.8857 16.3143 5.57143 16 0 15 18 4 8
 228 30 0 73 7.08219 16.3699 6.47945 4 10 14 19 4 9
 229 10 0 1 9 16 4 9 9 16 16 4 4
 230 38 0 7 1.85714 16.7143 5 1 3 16 18 4 6
 234 93 0 26 0.576923 12.2692 6.61538 19 2 10 14 5 8
 235 62 0 5 4.4 12 5.4 4 5 11 13 5 6
 236 44 0 8 2.25 14.125 5.5 1 3 13 15 5 7
 237 52 0 10 5.3 14.6 5.4 4 6 13 16 5 6
 238 46 0 24 3.29167 15.5 6.75 1 5 14 17 5 9
 239 10 0 2 5.5 16.5 5.5 5 6 16 17 5 6
 240 11 0 52 7.59615 13.1731 8.73077 4 11 11 16 6 12
 241 42 0 2 5.5 13 6.5 5 6 13 13 6 7
 242 42 0 23 10.7826 16.2174 5.26087 9 12 15 18 4 7
 247 49 0 12 6.58333 12.0833 7.5 6 8 11 13 7 8
 248 77 0 57 2.80702 13.8596 8.94737 0 5 11 16 7 12
 249 76 0 18 8 14.4444 8.33333 6 10 13 16 7 10
 250 13 0 12 1.33333 16.5 8.41667 0 2 15 18 7 10
 252 60 0 42 4.02381 17.2619 9.2381 2 7 15 19 7 12
 256 5 0 10 19.3 15.7 9 18 0 15 17 8 10
 257 25 0 1 7 17 8 7 7 17 17 8 8
 258 54 0 1 1 19 8 1 1 19 19 8 8
 259 31 0 2 0 10.5 9 0 0 10 11 9 9
 262 47 0 16 8.875 10.75 10.5 7 10 10 12 9 12
 263 93 0 34 10.0294 13.7059 9.47059 8 12 12 15 7 12
 265 40 0 2 0 16.5 9.5 0 0 16 17 9 10
 268 33 0 12 11.8333 11.25 19.8333 11 13 10 12 19 1
 273 50 0 1 19 11 0 19 19 11 11 0 0
 280 34 0 11 15.2727 15.0909 19.6364 14 16 14 16 19 1
 281 68 0 1 18 14 0 18 18 14 14 0 0
 282 71 0 71 12.3521 16.662 1.29577 10 15 13 19 19 3
 283 9 0 55 11.0364 16.7455 17.6182 8 14 15 19 15 0
 287 14 0 5 13.6 18.4 19.8 13 14 18 19 19 0
 290 90 0 2 19 10 1.5 19 19 10 10 1 2
 291 75 0 4 16.5 13.25 2 16 17 13 14 1 3
 292 14 0 19 17.4737 17.5789 2.78947 16 19 16 19 1 4
 297 86 0 35 14.1429 14.6571 3.48571 12 17 13 16 2 6
 305 61 0 1 14 11 3 14 14 11 11 3 3
 307 75 0 1 14 13 3 14 14 13 13 3 3
 308 68 0 1 11 17 3 11 11 17 17 3 3
 309 66 0 2 13.5 18 3 13 14 18 18 3 3
 313 97 0 1 16 10 4 16 16 10 10 4 4
 314 6 0 27 17.4074 12.5556 5.81481 15 19 11 14 4 7
 315 12 0 7 12.4286 13.5714 5.14286 12 13 13 14 4 6
 316 17 0 14 13.7143 14.8571 5.5 13 15 14 16 4 7
 317 25 0 1 14 14 4 14 14 14 14 4 4
 320 60 0 1 18 15 4 18 18 15 15 4 4
 321 37 0 1 13 19 4 13 13 19 19 4 4
 323 22 0 28 14.1786 11.5 7.53571 11 18 10 13 5 10
 324 15 0 21 12.8571 17.6667 6.09524 11 14 16 19 5 7
 330 15 0 23 18.3478 13.4783 8.69565 17 19 12 15 6 10
 331 40 0 11 11.1818 15.9091 7 10 12 15 17 6 8
 332 60 0 1 15 16 6 15 15 16 16 6 6
 333 53 0 23 15.1304 17.7826 7.86957 14 16 16 19 6 10
 341 63 0 2 12.5 12.5 7.5 12 13 12 13 7 8
 343 33 0 36 15.6944 14.6389 9.44444 14 18 12 17 7 11
 344 4 0 14 16.5714 14.9286 8 15 18 13 17 7 9
 345 94 0 14 12.9286 15.2857 7.71429 12 14 14 17 7 9
 347 79 0 9 15.4444 16 7.77778 14 17 15 17 7 9
 348 50 0 10 17.4 17.9 8.9 17 18 17 19 7 10
 351 43 0 23 12.8696 13.6522 9.65217 11 14 12 15 8 11
 353 53 0 6 10.8333 17.5 8.16667 10 12 17 18 8 9
 354 29 0 16 12.5 17.3125 9.25 11 14 16 19 8 10
 356 6 0 15 14.8667 11.5333 10.0667 13 16 10 13 9 11
 358 85 0 15 17.8667 10.1333 10.6 17 19 9 11 9 12
 360 9 0 14 14.7857 19.0714 10.2143 14 16 18 1 9 12
 363 70 0 33 0.484848 15.3939 12.697 18 3 12 0 10 15
 366 5 0 21 8.90476 0.047619 11.2857 7 12 19 2 10 13
 379 18 0 16 1.625 6.3125 11.4375 1 3 5 8 10 13
 384 30 0 18 2.72222 0.833333 11.7222 1 4 0 3 11 13
 386 35 0 7 5.85714 1.57143 11.5714 5 7 1 2 11 12
 387 22 0 1 9 1 11 9 9 1 1 11 11
 388 13 0 15 19.2667 7 11.4 18 0 5 9 10 12
 389 69 0 68 5.97059 7.77941 14.3382 3 9 4 11 11 17
 390 22 0 12 1.16667 8 11.75 0 2 7 9 11 13
 391 44 0 27 7.77778 9 12.4074 6 9 7 11 11 14
 392 33 0 43 5.5814 1.32558 13.0465 3 9 19 4 11 15
 393 6 0 34 10.1176 5.08824 14 7 12 4 7 11 16
 394 88 0 1 9 5 12 9 9 5 5 12 12
 395 68 0 1 7 6 12 7 7 6 6 12 12
 396 53 0 10 1.5 10.4 12.2 0 4 9 11 11 13
 398 4 0 9 4.11111 19.8889 13.5556 3 5 19 1 13 15
 399 63 0 59 10.322 0.644068 15.2203 8 14 18 3 13 18
 400 27 0 59 11.661 1.89831 13.2881 9 15 18 6 11 15
 401 16 0 59 7.33898 2.69492 15.4237 6 9 19 7 13 18
 402 43 0 3 9.66667 2.66667 14 9 10 2 3 13 15
 403 10 0 8 0.25 4.5 14 0 1 4 5 13 15
 404 36 0 6 9 4.33333 13.8333 8 10 4 5 13 15
 405 20 0 68 3.36765 6.94118 14.9559 1 7 3 11 13 17
 406 32 0 14 19.4286 7.21429 13.2857 18 0 6 9 12 14
 408 72 0 2 0.5 1 14 0 1 1 1 14 14
 410 77 0 26 2.84615 4.80769 15.7692 1 5 4 7 14 17
 411 87 0 15 6.33333 7.66667 14.9333 5 8 7 9 14 16
 412 60 0 5 3.8 8.4 14.2 3 5 8 9 14 15
 413 34 0 21 18.7619 9.7619 14 17 0 8 12 13 15
 414 85 0 24 9.33333 10.0417 13.8333 8 11 8 12 12 15
 415 8 0 1 2 1 15 2 2 1 1 15 15
 416 30 0 20 18.3 3.6 14.55 17 0 2 6 13 16
 417 89 0 4 5.25 2.75 16.5 5 6 2 3 15 18
 419 59 0 44 19.5909 7.09091 16.3409 18 2 5 10 14 18
 420 18 0 1 1 7 15 1 1 7 7 15 15
 422 76 0 37 0.405405 10.6757 16.4865 18 3 8 13 15 19
 423 22 0 8 3.875 8.75 16.5 3 4 8 10 15 18
 424 89 0 45 19.1111 17.2889 12.4667 18 1 15 0 10 16
 425 64 0 1 8 2 16 8 8 2 2 16 16
 426 42 0 27 19.2593 4.07407 16.7037 17 2 3 6 16 18
 427 6 0 13 6.53846 3.30769 17.3846 5 9 2 4 16 18
 428 35 0 1 5 7 16 5 5 7 7 16 16
 429 11 0 21 10.1905 8.2381 16.3333 8 12 6 10 15 18
 431 65 0 22 8.04545 18.6364 16.6364 6 10 17 1 14 18
 434 92 0 15 10.5333 3.4 16.6667 9 12 2 5 15 18
 435 36 0 26 6.65385 7 18.1538 5 10 5 10 17 19
 436 99 0 16 3.5 5.9375 17.75 2 5 4 7 17 19
 437 93 0 13 2.23077 8.69231 18.0769 0 4 8 10 17 19
 442 83 0 1 2 3 18 2 2 3 3 18 18
 453 20 0 1 5 7 19 5 5 7 7 19 19
 466 53 0 18 17.3333 4 11.6667 16 18 2 6 10 13
 468 86 0 23 11.9565 5.34783 11.4783 11 14 4 7 10 13
 475 80 0 1 16 8 10 16 16 8 8 10 10
 477 33 0 1 14 9 10 14 14 9 9 10 10
 481 20 0 13 15 1.92308 12 14 16 1 3 11 13
 487 72 0 9 16.8889 5.88889 11.6667 15 18 5 7 11 13
 488 33 0 5 12.4 8.4 11.6 12 13 8 9 11 12
 489 10 0 15 15.9333 2.4 13.4667 14 18 1 4 12 14
 491 98 0 21 11.2857 7.28571 13.8095 10 13 6 9 12 15
 492 62 0 42 12.2857 11.119 13.119 11 14 9 13 11 15
 493 78 0 28 13.75 8.60714 13.9286 12 15 6 11 12 16
 495 52 0 21 16.5238 6.71429 13.8571 14 19 5 8 13 15
 499 69 0 23 17.8696 0.695652 15.2174 16 19 19 2 14 17
 500 48 0 27 14.1481 19.5185 16.0741 12 16 17 1 14 18
 502 75 0 12 12.4167 3.41667 15.75 11 13 2 5 14 17
 503 58 0 19 16.4211 3.10526 15.5789 15 18 2 5 14 17
 506 80 0 77 13.0779 12.4156 16.8831 10 17 9 16 14 19
 507 53 0 1 16 9 14 16 16 9 9 14 14
 509 79 0 37 14.2973 2.72973 16.4054 12 16 0 6 15 18
 511 28 0 49 13.5306 7.08163 16.8163 12 16 5 9 15 19
 512 11 0 2 14 4.5 15.5 14 14 4 5 15 16
 514 45 0 22 16.3182 7.36364 17 15 18 6 9 15 19
 515 22 0 1 14 8 15 14 14 8 8 15 15
 516 18 0 7 12.1429 9.57143 15.5714 11 13 9 10 15 16
 520 2 0 23 12.4783 19.8261 18.2174 11 15 18 1 17 19
 521 21 0 29 16.5172 0.103448 17.931 15 18 18 2 17 19
 523 75 0 1 11 1 17 11 11 1 1 17 17
 528 8 0 3 10.6667 7.33333 17.3333 10 11 7 8 17 18
 549 34 0 1 3 13 10 3 3 13 13 10 10
 550 76 0 1 5 13 10 5 5 13 13 10 10
 552 41 0 15 0.733333 13.4 11.8 19 2 12 14 10 13
 553 86 0 67 5.9403 16.1045 13.5224 3 9 12 19 10 17
 558 34 0 1 7 16 10 7 7 16 16 10 10
 561 47 0 7 6.71429 17.8571 10.2857 6 8 17 19 10 11
 567 68 0 18 4.22222 16.7778 11.8333 3 5 15 18 11 13
 568 65 0 1 1 17 11 1 1 17 17 11 11
 569 25 0 22 7.09091 17.3182 12.5455 6 9 16 19 11 14
 570 91 0 2 4 19 11.5 4 4 19 19 11 12
 574 47 0 1 6 12 12 6 6 12 12 12 12
 575 90 0 40 3.125 13 14.925 1 5 10 15 12 18
 576 72 0 27 7.44444 14.5185 13.8889 6 9 12 16 12 16
 577 41 0 32 10.375 16 12.3125 9 12 14 18 10 14
 578 33 0 13 0.307692 17.3077 13.4615 19 1 16 18 12 15
 584 16 0 9 2.22222 15.8889 14.1111 1 3 15 17 13 16
 585 28 0 24 5.5 13.8333 15.4583 4 7 12 15 13 17
 586 22 0 1 8 18 13 8 8 18 18 13 13
 588 43 0 2 0.5 10 14 0 1 10 10 14 14
 591 99 0 29 1.51724 14.5862 15.4138 0 3 13 16 14 17
 592 32 0 14 5.64286 15.9286 15.6429 4 7 15 17 14 18
 593 92 0 11 7.63636 16.7273 15.0909 7 9 16 18 14 16
 598 93 0 12 8.91667 11.5 16.3333 8 10 10 13 15 18
 599 57 0 63 12.3651 15.9048 14.2698 9 16 13 18 12 16
 603 13 0 6 18.8333 15.6667 14.3333 18 0 15 16 13 16
 604 36 0 9 2 18.1111 16.8889 1 3 17 19 16 18
 608 54 0 11 3.36364 11.4545 17.9091 2 4 11 12 17 19
 611 8 0 1 5 15 17 5 5 15 15 17 17
 622 27 0 2 4.5 14 18 4 5 14 14 18 18
 623 30 0 2 7 15.5 18.5 7 7 15 16 18 19
 630 27 0 1 4 16 19 4 4 16 16 19 19
 637 60 0 8 10.75 11.625 10.5 10 12 11 12 10 11
 644 100 0 18 18.0556 12.7778 11.7222 16 19 11 14 10 13
 645 85 0 6 11.5 14.3333 10.3333 10 13 14 15 10 11
 646 90 0 28 16.9286 15.1071 12.9643 14 19 14 17 10 15
 651 54 0 29 16.7931 17.5862 13.8966 15 18 16 19 10 17
 662 12 0 17 15.9412 13.2941 11.8235 15 17 12 15 11 13
 664 100 0 9 14.3333 13.7778 13 14 15 13 15 11 15
 665 37 0 20 13.15 17.05 11.85 12 15 16 18 11 13
 667 77 0 9 14.7778 11.7778 13.3333 14 16 11 13 12 14
 671 57 0 20 16.9 11.25 14.2 15 18 10 13 13 15
 676 48 0 33 16.9697 14.1212 15.4242 15 19 12 17 14 17
 677 29 0 3 14.6667 16.3333 15 14 15 16 17 14 16
 679 17 0 4 11.75 18.5 14.5 11 13 18 19 14 15
 684 66 0 8 12.125 12.25 15.625 11 13 11 13 15 16
 690 76 0 5 10.4 11.4 16.6 10 11 11 12 16 17
 691 17 0 14 15.2857 11.6429 17.2857 14 16 10 13 16 19
 693 42 0 8 14.625 14.875 17 13 16 14 16 16 18
 694 97 0 21 15 17.0952 17.7143 14 17 16 19 16 19
 697 8 0 8 16.5 13.5 17.5 16 17 13 14 17 18
 705 92 0 1 12 14 18 12 12 14 14 18 18



--------------------------------------------------
Time = 2.010376 
ncluster = 261 
<N> = 30.6513 
<R> = 2.79198 
id ivalue dvalue size cx cy cz xlo xhi ylo yhi zlo zhi 
 1 35 0 90 0.6 19.3333 0.0555556 16 5 16 4 17 3
 2 28 0 51 4.15686 0 1.5098 2 6 18 3 19 3
 3 61 0 143 5.41259 17.7902 17.4336 0 11 13 1 12 2
 4 64 0 97 3.74227 1.64948 17.5979 19 8 19 4 14 1
 5 39 0 17 8.64706 19.0588 18.4118 7 10 18 0 17 0
 6 10 0 27 1.25926 1.77778 19.7407 19 3 1 3 18 2
 7 42 0 70 10.2429 18.6286 1.9 7 12 15 2 17 6
 8 95 0 17 19.5882 2.88235 1 18 1 2 4 19 2
 9 8 0 26 3.23077 3.57692 18.6154 1 5 1 5 17 0
 10 72 0 27 8.55556 4.18519 1.85185 7 10 3 6 0 4
 11 47 0 150 8.25333 5.81333 1.86 5 11 2 9 16 8
 12 80 0 44 18.7955 4.54545 19 17 1 2 7 17 1
 13 33 0 112 3.92857 5.875 2.42857 0 8 2 10 19 5
 14 78 0 27 4.48148 5.92593 0.037037 3 6 4 7 19 2
 15 55 0 11 4.72727 3.45455 1.36364 4 6 2 4 0 3
 16 27 0 17 6.35294 6.76471 0.823529 5 7 5 9 0 2
 17 86 0 14 19.4286 8 0.142857 19 0 7 9 19 1
 18 58 0 34 1.5 9.02941 19.5588 19 3 7 11 18 2
 19 83 0 66 4.22727 10.3939 1.28788 2 6 8 13 18 5
 20 48 0 18 7.72222 8.83333 0.777778 6 9 7 11 19 2
 21 60 0 22 9.22727 8.63636 18.2727 7 11 8 10 17 0
 22 86 0 101 19.3267 1.47525 4.20792 16 3 18 6 1 8
 23 90 0 44 8.36364 0.772727 3.29545 6 11 19 3 1 6
 24 36 0 78 0.653846 6.71795 4.28205 17 6 4 10 1 8
 25 45 0 35 9.68571 10.6 4.22857 8 11 8 13 1 6
 26 27 0 24 1.04167 10.0417 2.25 19 3 9 12 1 4
 27 18 0 2 5.5 0.5 3.5 5 6 0 1 3 4
 28 99 0 44 2.84091 1.02273 5.25 0 5 19 2 3 8
 29 76 0 2 1.5 8.5 3.5 1 2 8 9 3 4
 30 94 0 54 6.74074 10.9074 5.31481 5 8 9 13 3 8
 31 36 0 44 1.06818 18.4091 5.02273 19 3 16 0 3 7
 32 39 0 41 6.07317 19.0732 5.80488 4 8 17 1 4 8
 33 83 0 140 10.8286 2.6 3.84286 7 14 19 6 18 8
 34 79 0 44 3.11364 4.47727 5.40909 1 6 3 7 4 7
 35 21 0 1 4 3 4 4 4 3 3 4 4
 36 74 0 31 5.51613 1.93548 6.35484 3 7 1 3 4 8
